[
  "03:15    let's start with just",
  "03:18    the basics oh the basic interbank market",
  "03:20    wholesale market you know I think most",
  "03:24    people are probably familiar with",
  "03:25    something called federal funds if for",
  "03:27    nothing for no other reason than the",
  "03:28    Federal Reserve that has been its main",
  "03:30    lever of monetary policy control at",
  "03:32    least controlling expectations for",
  "03:34    decades so people are somewhat familiar",
  "03:36    with the idea of a federal funds an",
  "03:38    unsecured lending market I may not know",
  "03:41    where it came from back in 1920 you know",
  "03:44    this is whether this is an apocryphal",
  "03:46    story or not there was a couple banks I",
  "03:47    believe in Cleveland going off the top",
  "03:49    of my head where one bank was short of",
  "03:51    its reserve requirement for a day",
  "03:53    because you know customers in that Bank",
  "03:55    just you know more customers showed up",
  "03:57    to withdraw cash than they anticipated",
  "03:58    just through a regular course of",
  "04:00    business and they got together with",
  "04:01    another Bank on the other side of town",
  "04:02    or even across the street I think is the",
  "04:04    story I heard and they decided you know",
  "04:06    the bank across the street had excess",
  "04:08    reserves and they decided the way that",
  "04:09    they would clear the one banks",
  "04:11    deficiency was by exchanging checks",
  "04:13    nothing more than checks the cash",
  "04:16    lenders are check was drawn on its",
  "04:17    reserve account which was cleared",
  "04:19    immediately while the cash borrowers",
  "04:21    check was drawn upon its house account",
  "04:23    was cleared in the next day so what was",
  "04:25    born was the federal funds market where",
  "04:27    its",
  "04:28    purpose was to transfer cash back and",
  "04:30    forth between deficient reserve",
  "04:33    deficients of participants and reserve",
  "04:35    surplus participants and that was a",
  "04:38    wholesale way for the banking system to",
  "04:40    manage its liquidity profile as it",
  "04:42    related to statutory reserve",
  "04:44    requirements and it was nothing more",
  "04:46    than a handshake because again and this",
  "04:47    is this initial primitive wholesale",
  "04:50    market it was essentially between two",
  "04:52    participants who knew each other and",
  "04:53    they knew it often knew each other well",
  "04:55    well this whole federal funds market and",
  "04:58    the idea of wholesale money kind of took",
  "05:02    a step back in fact it it practically",
  "05:04    disappeared in the 1930s in the nineteen",
  "05:06    forties because of the Great Depression",
  "05:07    the collapse in banking but made a",
  "05:09    roaring comeback in the 1950s but when",
  "05:12    it came back in the 1950s it had changed",
  "05:14    and it transformed a bit it was no",
  "05:16    longer strictly about banks trying to",
  "05:18    manage their reserve requirement Reserve",
  "05:19    profile it became a mechanism for all",
  "05:22    sorts of financial players to begin",
  "05:24    funding positions and so it became a",
  "05:26    true funding market but there was a",
  "05:28    problem because initially it was still a",
  "05:30    handshake market it was still you lend",
  "05:32    overnight on an unsecured basis to",
  "05:34    somebody you knew but as the market was",
  "05:36    growing and expanding including all",
  "05:39    these different players there became you",
  "05:41    know a desire for some way to add",
  "05:43    security because other than reputation",
  "05:46    alone why else would you lend in an",
  "05:47    unsecured basis and so that was the",
  "05:49    impetus behind what became well the repo",
  "05:52    market actually existed but what turned",
  "05:54    the repo market into another wholesale",
  "05:56    market that today actually far exceeds",
  "05:58    anything that takes place out there we",
  "06:02    won't have a lot of time to get into the",
  "06:03    why it's called a repurchase agreement",
  "06:05    or repo market but basically it's the",
  "06:07    same structure as an unsecured unsecured",
  "06:10    interbank transaction it's a wholesale",
  "06:12    market where instead of a handshake",
  "06:14    you're putting up security for the cash",
  "06:17    that you're borrowing and from another",
  "06:19    bank and so these are financial",
  "06:20    counterparties an interbank market where",
  "06:22    one party puts up a financial security",
  "06:25    in return for lending cash for borrowing",
  "06:29    cash excuse me it's that that gave the",
  "06:31    cash lender a degree of security that",
  "06:34    they wouldn't have to necessarily worry",
  "06:35    about the reputation or not knowing the",
  "06:38    reputation of whoever is borrowing their",
  "06:40    cash so long as they had some security",
  "06:42    it was a reasonable it was a reasonable",
  "06:45    way to conduct business across a what",
  "06:47    became a very large dynamic global",
  "06:51    marketplace however when you're when",
  "06:56    you're when you're a cash lender in the",
  "06:58    repo market and you're putting up you're",
  "07:00    getting security and return financial",
  "07:02    securities in return for lending cash",
  "07:04    that creates some other factors that you",
  "07:07    have to consider primarily the biggest",
  "07:09    one is the security itself because",
  "07:11    there's all sorts of different financial",
  "07:12    securities that can be put up for to you",
  "07:15    in to secure the cash that that's that's",
  "07:17    being lent in primarily the the most",
  "07:20    pristine form of collateral the one",
  "07:22    that's best that's most widely accepted",
  "07:24    on the most reasonable terms are US",
  "07:26    Treasury bonds US Treasury notes and",
  "07:28    actually US Treasury bills the reason is",
  "07:31    because there's basically no credit risk",
  "07:32    I know people will argue with that point",
  "07:35    and say that the government is",
  "07:36    especially lately is doing everything",
  "07:38    you possibly can to create credit risk",
  "07:41    by you know borrowing as much as it",
  "07:44    possibly can but as far as the market is",
  "07:46    concerned these these large governments",
  "07:48    are Treasury bonds and Treasury notes",
  "07:50    and especially Treasury bills are",
  "07:52    essentially free of credit risk and so",
  "07:55    they're the most pristine form of",
  "07:58    collateral however but because of the",
  "08:01    way the market is structured and because",
  "08:02    of what you're actually doing you're",
  "08:04    accepting a financial security in return",
  "08:06    for cash you have to be aware of the",
  "08:09    liquidity characteristics of the",
  "08:11    collateral you're accepting in fact this",
  "08:13    is the the biggest factor this is the",
  "08:16    you know the primarily the thing that",
  "08:18    drives the repo market more than",
  "08:20    anything is the liquidity",
  "08:21    characteristics of the collateral that's",
  "08:23    being accepted and so at least is",
  "08:25    something called a haircut what a",
  "08:28    haircut is is as a cash lender you have",
  "08:31    to be aware of the security you're",
  "08:33    getting in terms a case that the in case",
  "08:36    that when you lend cash to the borrower",
  "08:38    the borrower doesn't return your cash",
  "08:41    they default on the default on the",
  "08:43    interbank loan even if it's an overnight",
  "08:44    thing what you have to do in that",
  "08:46    situation to be made whole is you have",
  "08:48    to sell the collateral that's been",
  "08:50    posted to you and if you have to sell",
  "08:52    the collateral it's been posted you",
  "08:53    tomorrow that you're glad you're given",
  "08:56    today",
  "08:56    you have to sell it tomorrow because the",
  "08:57    cash isn't returned to you you have to",
  "08:59    protect yourself a little bit in case",
  "09:02    the value of that collateral moves",
  "09:03    overnight so when the when the market",
  "09:06    opens in the morning the cash borrower",
  "09:07    says I'm defaulting on the loan and you",
  "09:09    got to dump the clatter on the market",
  "09:11    you better hope that there's a market",
  "09:13    there that you're able to liquidate the",
  "09:14    collateral that you've received",
  "09:16    otherwise you're going to lose out too",
  "09:18    so the haircut is the way that the cash",
  "09:20    lender protects itself from the movement",
  "09:23    and value of the securities that are",
  "09:24    being posted to us so for something",
  "09:26    that's a pristine form of collateral",
  "09:27    like US Treasury bonds bills or notes",
  "09:29    the haircuts not going to be very large",
  "09:31    because we don't expect that the market",
  "09:33    for Treasuries is going to move too much",
  "09:34    on a day to day basis again that's all",
  "09:37    that we care about is is the cash lender",
  "09:39    in the repo market we don't really care",
  "09:41    about the credit profile we only care",
  "09:42    about the market tomorrow",
  "09:44    is there going to be a predictable",
  "09:45    liquid and efficient market the next day",
  "09:48    so if I have to dump the collateral",
  "09:50    because the the cash borrower is",
  "09:51    defaulted I can do so and cover",
  "09:54    everything that everything that I need",
  "09:55    to cover so I don't lose any money so",
  "09:57    we've been on a 2% haircut what that",
  "10:00    says it's a it's basically a bit of over",
  "10:02    collateralization what that means is we",
  "10:05    ask for a little bit of extra collateral",
  "10:07    in case you know market moves tomorrow",
  "10:09    price of Treasuries Falls we don't",
  "10:11    expect them to fall much but they might",
